id,en,ja,de
introduction.text1,"When an earthquake strikes, it is extremely important to take appropriate action without panicking. This is the only sure way to minimize the damage.",地震が発生したとき、被害を最小限におさえるには、一人ひとりがあわてずに適切な行動をすることが極めて重要です。,Während eines Erdbebens ist es ausgesprochen Wichtig dass sie einen angebracht reagieren und einen kühlen Kopf bewahren. Nur wenn sie die Nerven behalten ist es möglich den Schaden zu minimieren.
introduction.text2,"To achieve this, it is essential that we understand the danger of earthquakes and prepare properly in our daily lives. Knowledge and preparation will help us to act calmly when disaster strikes.",そのためには、みなさんが地震について関心を持ち、 いざというときに落ちついて行動できるよう、日頃から地震の際の正しい心構えを身につけておくことが大切です。,Um im Erdbebenfall angebracht Handeln zu können ist eine gewissenhafte Vorbereitung und Bildung zum Thema essenziell. Wissen und Vorbereitung macht es möglich im Erdbebenfall rasch und gezielt zu Handeln.
indoor.subtitle1,Basic points at home,自宅での基本的事項,Grundlagen zu Hause
indoor.text1,Get under a stable desk or table and hold onto its legs tightly.Protect your head with a cushion or the like and stay put until the tremors stop.,丈夫な机やテーブルなどの下にもぐり、机などの脚をしっかりと握りましょう。また、頭を座布団などで保護して、揺れが収まるのを待ちましょう。,Bringen sie sich unter einen Tisch und halten sie an den Tischfüssen fest. Schützen Sie Ihren Kopf mit einem Polster oder ähnlichem.
indoor.list1_1,"If a big tremor strikes suddenly, remember to secure your own safety first.",突然大きな揺れに襲われたときは、まずは自分の身を安全に守れるように心がけましょう。,"Sollte ein starkes Beben plötzlich auftreten, bringen Sie zuerst sich selbst in Sicherheit."
indoor.list1_2,Open doors and secure exit and entry routes.,戸を開けて、出入り口の確保をしましょう。,Öffnen Sie alle Türen und stellen Sie sicher das die Ausgänge frei sind.
indoor.list1_3,"Shelves and items placed on shelves (TV sets, etc.) may fall. Stay clear of shelves until the tremors stop.",棚や棚に乗せてあるもの、テレビなどが落ちてきたりするので、離れて揺れが収まるのを待ちましょう。,"Regale - und Gegenstände auf Regalen (Fernseher, usw.) könnten umfallen. Vermeiden sie Regale wenn möglich."
indoor.list1_4,Try not to flee from the building in a wild panic.,あわてて戸外に飛び出さないようにしましょう。,Flüchten Sie nicht panisch aus dem Gebäude.
indoor.subtitle2,When sleeping in a bedroom,寝ているとき,Im Schlafzimmer
indoor.text2,"If a tremor wakes you, secure your safety by getting under your bedding or bed, if possible.",揺れで目覚めたら寝具にもぐりこむかベッドの下に入れる場合はベッドの下に入り、身の安全を確保しましょう。,"Sollten Sie von einem Erdbeben geweckt werden, versuchen Sie sich unter dem Bett in Sicherheit zu bringen."
indoor.list2_1,Beware of broken glass from windows or light bulbs in the dark.,暗闇では、割れた窓ガラスや照明器具の破片でけがをしやすいので注意をしましょう。,Achten Sie in der Dunkelheit auf Glasstücke die von zerbrochenen Scheiben oder Glühbirnen stammen könnten.
indoor.list2_2,"To prepare for a sudden evacuation, keep a pair of thick socks, slippers, flashlight, and mobile radio next to your bed or futon.",枕元には、厚手の靴下やスリッパ、懐中電灯、携帯ラジオなどを置いておき、避難が出来る準備をしておきましょう。,"Als Vorbereitung für eine plotzliche Evakuierung empfiehlt es sich ein Paar dicke Socken, eine Taschenlampe und ein mobiles Radio neben dem Bett bereit zu halten."
indoor.list2_3,Never put anything that can easily fall or topple over in your bedroom. Make sure that nothing can fall on you while you asleep.,寝室には、倒れそうなもの等をおかないようにし、頭の上にものが落ちてこない所に寝ましょう。,Stellen Sie nichts in ihr Schlafzimmer das leicht umfallen kann. Achten Sie besonders darauf das nichts auf sie fallen kann während Sie schlafen. 
indoor.subtitle3,When in a bathroom,トイレ・お風呂,In der Toilette/im Bad
indoor.text3,"If you feel a tremor, open the door immediately to secure your exit route, then wait until the tremors stop.　",揺れを感じたらまずドアを開け、避難路を確保し揺れが収まるのを待ちましょう。,"Wenn sie ein Erdbeben spüren, öffnen Sie als erstes die Tür um sicher zu stellen dass Sie einen Ausgang haben. Warten sie dann bis sich das Beben legt."
indoor.list3_1,"Tiles or mirrors may fall in a bathroom, or a water tank may topple from the toilet.",風呂場ではタイルや鏡、トイレでは水洗用のタンクなどが落ちてくることがありますので注意しましょう。,"Kacheln, Spiegel oder ein Wasserbehälter könnten auf den Boden fallen."
indoor.list3_2,"Beware of injuries from broken mirrors or glass, if the tremors strike while you’re bathing.",入浴中は鏡やガラスの破損によるけがに注意しましょう。,Achten sie darauf sich nicht an gebrochene Spiegeln oder Glass zu verletzen.
indoor.list3_3,"If in the bathtub, protect your head by covering yourself with the bathtub lid, or whatever else is available.",浴槽の中では、風呂のふたなどをかぶり、頭部を守りましょう。,Sollten sie während des Bebens im Bad sein versuchen Sie Ihren Kopf mit eine Bad-abdeckung oder ähnlichem zu schützen.
indoor.list3_4,"Put on only essential clothing, (deletion) wait until the tremors stop, and evacuate.",揺れが収まるのを待って避難しましょう。,Ziehen sie nur die notwendigeste Kleidung an und warten sie bis sich die Beben gelegt haben.
indoor.subtitle4,When in the kitchen,台所,In der Küche
indoor.text4,Get under a table or the like and wait until the tremors stop.,まずは、テーブルなどの下に身を伏せ、揺れが収まるのを待ちましょう。,Begeben Sie sich unter einen Tisch (o.ä.) und warten Sie bis sich die Beben gelegt haben.
indoor.list4_1,"If you rush to turn off a gas flame, falling pots and pans may scald you. Wait until the tremors stop before turning off the flame.",無理して火を消しに行くと調理器具が落ちてきてやけどなどをしたりするので、揺れが収まるまで待ちましょう。,Wenn sie in der Eile versuchen sollten den Herd abzuschalten könnten sie sich an der heissen Flamme oder an fallenden Töpfen verbrennen. Warten Sie auf das Ende des Bebens vor Sie den Herd abschalten.
indoor.list4_2,"Watch out for cupboards or refrigerators. These can fall on you, or contents can fly out from them.",食器棚や冷蔵庫が倒れてくるだけでなく、中身が飛び出してくることもあるので注意しましょう。,"Vorsicht vor Regalen oder dem Kühlschrank. Diese, oder deren Inhalt, könnte auf Sie fallen."
indoor.list4_3,"If near cooker, move away in case pots or pans slip and fall. Wait until the tremors stop and then carefully turn off the flame.",コンロの近くの場合、調理器具が滑り落ちてくる場合があるので、コンロの近くから離れ、揺れが収まったら落ち着いて火を消しましょう。,"Wenn sie neben einem Gaskocher sein sollten, bewegen Sie sich weg davon. Pfannen oder Töpfen könnten auf sie Fallen. Schalten sie den Kocher nach dem Beben ab."
indoor.list4_4,Most households are equipped with gas leakage breakers (gas micron meters) that sense tremors and stop the gas supply automatically. Be sure to understand these devices and use them properly.,揺れを感じて自動的にガスの供給を停止するガス漏れ遮断器（ガスマイコンメーター）がほとんどのご家庭に設置されています。特性や使い方を十分に理解しておきましょう。,Die meisten Haushalte sind mit Gasschutzschaltern versehen die Erdbeben erkennen können und automatisch das Gas abschalten. Informieren Sie sich wie diese funktionieren und handzuhaben sind.
indoor.subtitle5,Condominiums,マンション,Wohnungen
indoor.text5,Note that tremors are more intense on the upper floors than on the ground level.,高層階では、地表より揺れが大きくなることがあるので注意しましょう。,Erdbeben sind intensiver in höheren Stockwerken als im Erdgeschoss.
indoor.list5_1,The risk of collapse is low. (delete) Get under a stable desk or the like and wait until the tremors stop.,丈夫な机などの下に身を隠し、揺れが収まるのを待ちましょう。,Begeben sie sich unter einen stabilen Tisch (o.ä.) und warten Sie bis sich das Beben gelegt hat.
indoor.list5_2,"There may be a small delay before you feel the tremors on the upper floors. Once they start, however, they tend to last longer at a wider amplitude.",高層階での地震は、揺れ始めは遅く、揺れ出すと長く揺れ、揺れ幅も大きくなる傾向があります。,In höheren Stockwerken kann gibt es eine kurze Zeitverzögerung allerdings tendieren die Beben länger zu dauern und eine höhere Amplitude zu haben.
indoor.list5_3,Check the locations of the emergency exits on a regular basis.,日頃から非常口の確認をしておきましょう。,Vergewissern Sie sich regelmässig dass Sie die Notausgänge kennen und dass diese nicht verstellt sind.
indoor.subtitle6,Offices,職場,Bürogebäude
indoor.text6,"Move away from cabinets, shelves, lockers, and copying machines in the office. Cover your head and get under a desk or the like to protect yourself.",職場ではキャビネットや棚、ロッカー、コピー機などから離れ、頭部を守り、机の下に隠れるなど身を守りましょう。,"Bewegen Sie sich weg von Schränke, Regalen, Schliessfächern und Kopiergeräten im Büro. Schützen Sie ihren Kopf und begeben Sie sich unter einen Tisch (o.ä.)"
indoor.list6_1,Move away from the windows. Window glass may break during the tremor.,窓ガラスが割れることがあるので、窓際から離れましょう。,Halten sie sich fern von Fenstern. Das Glass könnte während des Bebens brechen.
indoor.list6_2,Watch out for falling office equipment.,ＯＡ機器などの落下に注意しましょう。,Achten sie auf fallendes Büromaterial.
indoor.list6_3,"Try to improve your working environment on a daily basis by organizing, tidying up, and so on. ",常日頃から整理整頓をするなど職場環境をよくしておきましょう。,Es empfiehlt sich täglich zu versuchen die Büroräume zu organisieren und aufzuräumen.
indoor.list6_4,"When evacuating the building, watch out for falling objects and never try to use an elevator.",外へ逃げるときは落下物などに注意し、エレベーターは使わないようにしましょう。,"Wenn Sie das Gebäude evakuieren, achten sie auf fallende Gegenstände und verwenden sie keine Aufzüge."
indoor.subtitle7,Supermarkets・Department stores,スーパー・デパート,Supermärkte・Einkaufszentren
indoor.text7,Protect your head with a bag or shopping basket and move away from showcases or high shelves stocked with items that may fall.,バックや買い物かごなどで頭を保護し、ショーケースなど倒れやすいものから離れましょう。,Schützen Sie Ihren Kopf mit einer Tasche oder einem Einkaufskorb und bewegen Sie sich weg von Regalen oder Ausstellungstücken die Fallen könnten.
indoor.list7_1,"Find shelter in an elevator hall, or anywhere else uncluttered with merchandize and near a supporting pillar column.",エレベーターホールや比較的商品の少ない場所、柱付近に身を寄せましょう。,"Bringen sie sich in Sicherheit in einer Aufzugshalle, oder einem anderen Freiraum. Bleiben Sie nahe bei Stützsäulen."
indoor.list7_2,"Watch out for falling glassware, ceramic ware, and other items on display shelves.",ガラス製品や瀬戸物、その他、陳列棚の商品などの落下・転倒に注意しましょう。,"Achten Sie auf fallende Glaswaren, Keramik oder andere Gegenstände im Schauraum."
indoor.list7_3,Do not just rush to the exit. Follow the instructions of the staff.,慌てて出口に殺到せず、係員の指示に従いましょう。,Eilen Sie nicht einfach auf die Ausgänge zu. Folgen sie den Anweisungen des Personals.
indoor.list7_4,"Do not attempt to evacuate on an elevator, even if it seems to be working.",エレベーターが動いていたとしても、エレベーターによる避難はしないようにしましょう。,"Versuchen Sie sich nicht mit einem Aufzug in Sicherheit zu bringen, auch wenn dieser funktionstüchtig sein sollte."
indoor.subtitle8,Movie theaters・Theaters,映画館・劇場,Kinos・Vorstellungsräume
indoor.text8,Protect your head using a bag or the like and find shelter between the seats. Stay put until the tremors stop. ,バックなどで頭を保護し、座席の間に身を隠して、揺れが収まるのを待ちましょう。,Schützen Sie Ihren Kopf mit einer Tasche (o.ä.) und suchen Sie Sicherheit zwischen den Sitzreihen. Warten Sie bis sich das Beben gelegt hat.
indoor.list8_1,"Evacuate to a safe place, watching out for window glass and objects falling from above.",天井からの落下物や窓ガラス等に注意しながら、安全な場所に避難しましょう。,Evakuieren Sie zu einem sicheren Ort und achten sie auf Fensterglas und fallende Gegenstände.
indoor.list8_2,"Even if the power supply is cut off, evacuation lights or emergency lights will turn on. Follow the instructions of the theater staff without panicking..",停電しても誘導灯や非常灯がつきますので、慌てずに、係員の指示に従いましょう。,Bei Stromausfall schalten sich Evakuierungslichter und Notleuchten selbstständig an. Folgen Sie dem Personal ohne in Panik auszubrechen.
indoor.list8_3,Never rush to the exits or staircases.,慌てて出口や階段に殺到しないようにしましょう,Eilen Sie nicht zu den Ausgängen oder Treppen.
indoor.list8_4,Check the locations of the emergency exits beforehand.,事前に避難口を確認しておきましょう。,Achten sie vor der Vorstellung auf Notausgänge.
indoor.subtitle9,Underground mall,地下街,Im Untergrund
indoor.text9,Protect your head with a bag or the like and try not to panic. Stay put until the tremors stop. ,慌てずに、バックなどで頭を保護し揺れが収まるのを待ちましょう。,Schützen sich mit einer Tasche (o.ä) und versuchen Sie nicht in Panik zu geraten. Warten sie an Ort und Stelle bis sich das Beben gelegt hat.
indoor.list9_1,"If the power supply cuts off, wait until the emergency lights turn on. Do not move without good reason.",停電になっても、非常照明がつくまでむやみに動かないようにしましょう。,"Bei Stromausfall, warten Sie bis die Notleuchten anschalten. Bewegen Sie sich nicht ohne guten Grund."
indoor.list9_2,Emergency exits are located at 60m intervals in underground malls. Be calm and proceed through the exit up to the ground level. Never rush to an emergency exit congested with people. ,地下街では６０メートルごとに非常口が設置されているので、一つの非常口に殺到せずに地上に落ち着いて脱出しましょう。,In Untergrundeinrichtungen sind Notausgänge in 60m Abständen vorhanden. Begeben Sie sich ruhig über die Ausgänge zum Erdgeschoss. Eilen Sie nicht zu Notausgängen die mit Menschen gefüllt sind.
indoor.list9_3,"When evacuating, walk alongside the walls.",脱出するときは、壁づたいに歩いて避難しましょう。,Bewegen Sie sich an Wänden entlang.
indoor.list9_4,"You will be safe as long as there is no fire. Act calmly, without panicking.",火災が発生しなければ比較的安全なので、慌てずに行動しましょう。,"Solange kein Feuer ausbricht sollten Sie sicher sein. Handeln Sie ruhig, nicht panisch."
indoor.subtitle10,Schools,学校,Ausbildungsstätten
indoor.text10,Get under a desk to protect yourself from falling objects in the classroom. Follow the instructions of the teacher without taking sudden actions (such as fleeing the building in a panic).,教室内では、机の下に潜って落下物などから身を守り、慌てて外に飛び出すなど勝手な行動はせずに、教職員の指示に従いましょう。,Begeben Sie sich unter einen Tisch und schützen Sie sich vor fallenden Objekten. Folgen Sie den Anweisungen der Lehrperson und agieren Sie nicht überstürzt. (z.B. durch Flüchten aus dem Gebäude)
indoor.list10_1,"In corridors, playgrounds, or gymnasiums, get together and squat in the middle of the area.",廊下、運動場、体育館などでは、中央部に集まってしゃがみましょう。,"In Hallen, Freiräumen oder im Korridor begeben Sie sich zusammen in die Mitte des Raumes und gehen Sie in die Hocke."
indoor.list10_2,"In any kind of laboratory, pay attention to chemicals or fire while evacuating.",実験室などで薬品や火気に注意し、避難しましょう。,Achten sie auf Chemikalien oder Feuer im Labor (o.ä.) während sie evakuieren.
indoor.list10_3,The route back home may be dangerous in some cases. Do not return home without asking.,通学路が危険なこともあるので、勝手に帰宅しないようにしましょう。,Der Heimweg könnte in machen Fällen gefährlich sein. Gehen Sie ohne Rücksprache mit der Lehrperson nach Hause.
indoor.subtitle11,Elevators,エレベーター,Aufzüge
indoor.text11,"The basic rule is to press the buttons for all floors and get off at the first floor where the elevator stops. Be sure, however, never to rush onto a floor with fire or other serious danger.",全ての階のボタンを押し、最初に停止した階でおりるのが原則ですが、停止した階で慌てておりるのではなく、階の状況を見極めるのも大切です。,Drücken sie alle Tasten und verlassen Sie den Lift bei der erste Möglichkeit. Achten Sie jedoch darauf das im Stockwerk keine Brände oder ähnliche Gefahren warten.
indoor.list11_1,Emergency services assume that there will be many people trapped in elevators when an earthquake strikes. You may not be rescued immediately.,地震の時は同様に閉じこめられている人も大勢いると予想されます。救助にすぐに駆けつけてくれるとは限りません。,Rettungseinrichtungen erwarten dass im Falle eines Erdbebens viele Menschen in Aufzügen eingesperrt sind. Ihre Rettung könnte also nicht sofort passieren.
indoor.list11_2,"If you are trapped in an elevator, try to remain calm without panicking. Try to make contact with someone using the Emergency Call Button, etc.",エレベーターに閉じこめられても、焦らず冷静になって「非常用呼び出しボタン」等での連絡を取る努力をしましょう。,"Sollten sie in einem Aufzug eingesperrt sein, versuchen sie ruhig zu bleiben ohne in Panik zu geraten. Versuchen Sie mit jemanden in Kontakt zu treten durch die Notfalltaste oder ähnliches."
outdoor.subtitle1,Residential district,住宅地,Wohngegend
outdoor.text1,"If a strong quake strikes, the streets of residential districts will probably be blocked off with collapsed objects. ",強い揺れに襲われると、住宅地の路上には落下物や倒壊物があふれます。 ,Sollte ein starkes Beben auftreten sind die Strassen in Wohngegenden vermutlich blockiert.
outdoor.list1_1,"Block or stone walls along residential streets may fall during strong quakes. If you feel an earthquake, move away from these walls.",住宅地の路地にあるブロック塀や石塀は、強い揺れで倒れる危険があります。揺れを感じたら塀から離れましょう。,"Block oder Steinwände an Wohnstrassen könnten umfallen während eines Bebens, bewegen Sie sich weg davon."
outdoor.list1_2,"Electric poles and vending machines may also fall over, so move away from them, too.",電柱や自動販売機も倒れてくることがありますので、そばから離れましょう。,Bewegen Sie sich auch weg von Strommasten oder Verkaufsautomaten.
outdoor.list1_3,"Roofing tiles, external air conditioners, and planters on verandas and upper floors may fall. Look out for objects falling from above. ",屋根瓦や二階建て以上の住宅のベランダに置かれているエアコンの室外機、ガーデニング用のプランターなどが落下してくることがあります。頭の上も注意しましょう。,"Dachziegel, aussen montierte Klimaanlagen und Pflanzanlagen auf Verandas könnten von oberen Stockwerken fallen. Achten sie auf fallende Gegenstände von oben."
outdoor.list1_4,"If a strong quake strikes, houses with low earthquake resistance may collapse, filling the road with rubble or window glass. Be vigilant of surrounding conditions if you feel a strong tremor",強い揺れが起きると、耐震性能の低い住宅が倒壊する場合もあります。これにより瓦礫や窓ガラスが道路内に散乱する可能性もありますので、揺れを感じたら周辺の状況に注意しましょう。,Ein starkes Beben kann Häuser mit einer geringen Erdbebensicherheit zum Einsturz bringen und die Strasse mit Bruchstücken und Glass füllen. Achten Sie besonders bei einem starken Bebend genau auf Ihre Umgebung.
outdoor.subtitle2,Business districts・Downtown,オフィス街・繁華街,Geschäftsviertel・Innenstadt
outdoor.text2,"Window glass, outer walls, and signboards may fall from high- and middle-rise buildings downtown or in business districts.",中高層ビルが建ち並ぶオフィス街や繁華街では、窓ガラスや外壁、看板などが落下してくる危険性があります。,"Fensterglas, Aussenwände und Schilder können von hohen und mittelhohen Gebäuden fallen."
outdoor.list2_1,"If window glass in an office building breaks and falls, it will disperse fast (at a speed of 40 ~ 60 km). Tiles on the outer walls of buildings or signboards attached to outer walls may also fall. Protect your head with your shoes or the like and move as far away from the buildings as possible.",オフィスビルの窓ガラスが割れて落下すると、時速40～60kmで広範囲に拡散します。ビルの外壁や張られているタイル、外壁に取り付けられている看板などが剥がれ落ちることもあります。鞄などで頭を保護し、できるだけ建物から離れましょう。,Wenn das Fensterglas eines Bürogebäudes bricht und fällt wird es ausgesprochen schnell zersplittern (40 bis 60 kmh). Auch Kacheln oder Anzeigetafeln die an Aussenwänden angebracht sind können fallen. Schützen Sie ihren Kopf mit Schuhen (o.ä.) und bewegen Sie sich so weit entfernt von Gebäuden wie möglich.
outdoor.list2_2,The danger of falling signboards and neon signs is greater in downtown areas than in business districts. Be especially alert if there are strong tremors. ,繁華街では、オフィス街には少ない、店の看板やネオンサインなどの落下・転倒物が加わります。強い揺れに襲われた際には十分注意しましょう。,Die Gefahr von fallenden Anzeigetafeln und Neonschildern ist bedeutend höher in der Innenstadt als in Geschäftsbezirken. Seien Sie dort besonders Vorsichtig bei starken Beben.
outdoor.subtitle3,Seaside,海岸,Am Meer
outdoor.text3,"The biggest earthquake danger facing you at the seaside is a tidal wave (tsunami). Move to higher ground or an evacuation site immediately, without waiting for instructions or evacuation advice.",海岸で強い揺れに襲われたら、一番恐ろしいのは津波です。避難の指示や勧告を待つことなく、安全な高台や避難地を目指しましょう 。,Die grösste Gefahr am Meer ist eine grosse Welle (Tsunami). Begeben Sie sich so schnell es geht auf eine Anhöhe und warten Sie nicht Anweisungen oder Evakuierungsmassnahmen.
outdoor.list3_1,"If there is no higher ground nearby, go into a building with at least four floors and take the stairs up to the 4th floor or above. ",近くに高台がない場合は、３階建て以上の建物を目指し、３階より上に上がります。,"Sollte keine Anhöhe in der Gegend sein, gehen Sie in ein Gebäude mit mindestens 4 Stockwerken und begeben Sie sich in den 4ten Stock."
outdoor.list3_2,"Tidal waves attack in series. In some cases, the second and third wave is higher than the first. Never go back to the seaside, even if the waves recede.",津波は繰り返し襲って来て、第一波の後にさらに高い波が来ることもあります。いったん波が引いても絶対に戻ってはいけません。,Grosse Wellen kommen in Serie. In manchen Fällen ist die Zweite oder dritte Welle höher als die Erste. Gehen Sie nicht zurück ans Meer nachdem die erste Welle sich zurückgezogen hat.
outdoor.list3_3,"If there are signs pointing out evacuation routes, use them as a guide for evacuation.",避難標識が整備されている場合には避難する際の目安になります。,"Wenn Sie Hinweistafeln zu Evakuierungsrouten sehen, nutzen Sie diese als Evakuierungswege."
outdoor.list3_4,"If an earthquake strikes while you're bathing in the sea, there may be lifeguards or lifesavers nearby. If so, they will tell you where and how to evacuate the area.",海水浴中の場合は、監視員やライフセーバーがいる海水浴場では指示に従って避難しましょう。,"Wenn Sie während eines Erdbebens im Meer baden sollten, dürfte ein Rettungsschwimmer auch in der Nähe sein. Sollte dem der Fall sein fragen Sie den Rettungsschwimmer nach Evakuierungsmassnahmen."
outdoor.subtitle4,Riverside,川べり,Am Fluss
outdoor.text4,Tidal waves travel up water-filled rivers.,津波は水を湛えている川を遡ります。,Meereswellen bewegen sich an wasserreichen Flüssen flussaufwärts.
outdoor.list4_1,"If you evacuate upstream along the river, the tidal wave may chase you. You need to evacuate quickly at a right angle to the flow of the river.",流れに沿って上流側へ避難しても津波は追いかけてきます。流れに対して直角方向に素早く避難します。,"Wenn Sie dem Fluss entlang evakuieren wollten, könnte die Welle Sie aufholen. Versuchen Sie sich von Flüssen weg in Sicherheit zu bringen."
outdoor.subtitle5,Mountainous・Hilly districts,山・丘陵地,Im Gebirge・Auf Hügeln
outdoor.text5,"Move away from dangerous areas such as steep sloping land, watching out for falling rocks as you proceed.",落石に注意し、急傾斜地など危険な場所から遠ざかりましょう。,Bewegen Sie sich weg von gefährlichen Bereichen wie etwa Steile Hänge. Achten Sie dabei auf fallende Steine.
outdoor.list5_1,"If you are struck by a strong tremor while hiking or climbing a mountain, protect yourself from falling rocks first.",登山やハイキングで山にいる時に強い揺れに襲われた場合には、まず落石から身を守りましょう。,"Sollte ein Erdbeben während des Klettern oder Wanderns auftreten, schützen Sie Ihren Kopf zuerst."
outdoor.list5_2,The ground may loosen and become highly unstable during an earthquake. Be sure to stay away from areas with fallen rocks or steep sloping land.,地震で地盤がゆるみ、崩れやすくなっている可能性がありますので、ガケや急傾斜地など危険な場所には近づかないようにしましょう。,Während eines Bebens könnte sich der Untergrund lockern und hochgradig instabil werden. Halten Sie sich fern von bereichen mit gefallenen Steinen und von Steilhängen.
vehicle.subtitle1,While driving a car,運転中の場合,Im Auto
vehicle.text1,Unforeseen accidents may result if you try to make a sudden stop.,急ブレーキを踏めば予想外の事故を引き起こすことにつながります。,Bei einem abrupten Stopp könnten unvorhergesehene Unfälle passieren.
vehicle.list1_1,"If you feel a tremor,",揺れを感じたら,Wenn sie ein Beben spüren sollten...
vehicle.list1_2,"1. Never make a sudden stop. Keep firm hold of the steering wheel and gradually slow down, paying attention to the cars in front of you and behind. Pull over to the left side of the road when it is safe to do so.",１: 急ブレーキは禁物です。ハンドルをしっかり握り、前後の車に注意しながら徐々にスピードを落とし、道路の左側に停車します。,1. Bremsen Sie niemals abrupt. Halten sie das Lenkrad fest und bremsen sie langsam. Seien Sie dabei achtsam auf die Fahrzeuge vor und hinter Ihnen. Fahren sie links ran sofern es sicher ist.
vehicle.list1_3,2. Turn off the engine and stay in your car until the tremors stop. Get information from the car radio.,２: エンジンを切り、揺れがおさまるまでは車外に出ず、カーラジオから情報を入手します。,2. Schalten Sie den Motor aus und warten Sie im Auto bis sich das Beben legt. Informieren Sie sich über die Lage mit dem Autoradio
vehicle.list1_4,"3. If you need to evacuate the area, take important items, including your car registration. Leave the key in the car and a note with your contact address. Leave the doors unlocked. ",３: 避難の必要がある場合は、車のキーはつけたままにし、ドアをロックしないで、窓を閉めます。,"3. Sollte die Gegend evakuiert werden, nehmen Sie wichtige Gegenstände mit sich (inkl. Fahrzeugregistrierung). Lassen Sie den Schlüssel im Auto mit einer Notiz von einer Kontaktaddresse. Schliessen Sie die Türen nicht ab."
vehicle.list1_5,4. Vacate the area on foot.,４: 連絡先を見えるところに書き、車検証などの貴重品を持ち、徒歩で避難します。,4. Verlassen Sie die Gegend zu Fuss.
vehicle.list1_6,Do not vacate by car. This will block the passage of emergency vehicles.,車での避難は、緊急自動車などの妨げになりますのでやめましょう。,Verlassen Sie die Gegend nicht mit dem Auto. Ihr Auto wird die Verwendung von Einsatzfahrzeugen erschweren.
vehicle.list1_7,"If driving on the highway, observe the following points in addition to the points mentioned for regular roads above.",高速道路では、普通の道路を走行中の対処に加え、以下の点にも留意しましょう。,Zusätzlich zu den bisherigen Punkten achten sie auf folgende Dinge wenn Sie auf der Autobahn sind:
vehicle.list1_8,"○When driving at high speed, turn on your hazard lamps to ensure that the cars ahead of you and behind you can see you.",○高速走行しているのでハザードランプを点灯させ、前後の車に注意を喚起します。,"○ Wenn Sie schnell fahren sollten, schalten Sie die Fernleuchten und Warnlampen an um sicherzustellen das die Fahrzeuge vor und hinter Ihnen Sie sehen."
vehicle.list1_9,○Emergency exits are located at about 1 km intervals on highways. You can escape to the ground on foot via one of those exits.,○高速道路では約１kmごとに非常口が設けられており、ここから徒歩で地上に脱出することができます。,○ Notfallausgänge befinden sich in 1km Abständen auf Autobahnen. Sie können von dort zu Fuss die Autobahn verlassen.
vehicle.subtitle2,Railways,鉄道,Im Zug
vehicle.text2,Be prepared for an emergency stop. Stay low and keep hold of handrails or straps to avoid injury.,緊急停車に備え、ケガをしないように姿勢を低くしたり、手すりやつり革をしっかり握りましょう。,Seinen sie auf einen Notfallstopp vorbereitet. Halten Sie sich niedrig und halten Sie sich an Stangen oder Handgriffen frst.
vehicle.list2_1,"If a strong tremor is detected, the train will make an emergency stop.",強い揺れを感知すると電車は緊急停車します。,Sollte ein starkes Beben auftretten wird der Zug automatisch stehen bleiben.
vehicle.list2_2,"If sitting, keep low and protect your head with a bag or the like. If standing, keep hold of a handrail or strap to avoid falling over.",座席に座っている場合には、低い姿勢をとって頭部を鞄などで保護し、立っている場合には手すりやつり革をしっかり握って転倒しないようにしましょう。,Wenn sie sitzen sollten: halten Sie sich niedrig und schützen Sie Ihren Kopf mit einer Tasche (o.ä.). Wenn sie stehen halten sie sich an Handgriffen fest damit Sie nicht umfallen.
